ID,weight,age,BicepC
74,62.1,36,30.2
14,45.9,36,24.7
111,40.8,26,23.5
63,63.8,55,30.5
33,72.2,28,33
78,51.1,31,24.6
47,55.7,25,29.7
19,51.3,23,24.8
6,54.1,23,27.7
24,46.7,39,35
46,49.2,24,28.8
102,47,25,24
83,55.2,54,25
15,69.1,23,31.4
26,61,22,27.6
62,63.8,40,33.8
77,44.9,35,22.3
16,48.1,52,23
80,42.3,33,24.5
106,49.7,23,24
4,55.1,26,30
52,62.3,56,31.3
104,55.2,43,25
48,49,33,24
41,42.3,22,23.3
96,47.1,55,24
42,58.6,23,29
84,42.6,20,23
13,49,43,26
1,60.4,25,27.6
91,48.6,39,26
67,67.1,28,30.9
2,53.5,21,25.4
31,52.1,27,28.5
93,41.6,58,24.9
105,65.6,32,29.5
7,46.3,22,25
82,49.9,32,23.7
53,60.8,25,27.9
21,61.4,57,30.8
20,66.6,21,31.3
25,49.4,51,27.5
88,53.8,44,28.8
44,51,29,24.7
3,49.2,26,24.5
55,55.2,47,28
89,57.1,39,29.2
99,51.5,33,25.9
65,53.3,45,28.2
85,49.5,37,26.5
101,51.8,43,27
97,52.3,62,25.4
29,63.8,46,29.6
37,51.4,26,25.5
8,49.7,40,24.5
11,54.7,28,27.3
68,64.6,54,26.2
109,49.5,44,26
76,65.5,48,30
92,47.5,33,26.5
17,56.6,48,29
23,53.1,37,25.9
98,64.9,55,29.3
71,56.9,44,29.5
18,56.9,24,29.2
59,53.5,43,25.2
58,52.7,36,26
35,42.7,24,25
70,60.7,41,30.8
10,54.5,22,27
27,47,28,27
100,45.9,27,22
30,55.4,44,29.3
107,48.6,50,24.9
49,78.6,38,32
51,45.8,32,26.5
60,45.9,47,23
75,46.6,51,25.1
43,45.2,22,22.4
79,49.3,38,26.5
112,42.3,21,24
57,50.7,27,22.5
116,47,26,22.1
40,43,29,23.3
90,54.6,37,24.3
66,65.2,39,31.4
72,49.8,20,23
36,49.5,19,23.8
81,46.6,27,25.1
22,37.4,22,21
94,59.1,34,26
5,55.9,24,26.4
115,48.2,38,21.8
117,53.1,25,27.3
87,62.8,35,26.7
56,77.2,26,31.5
28,69.8,24,30
108,52.6,22,24.9
39,40.9,28,20.6
61,52.4,51,22.2
64,54.2,49,30.3
110,46.4,43,26
50,67,47,29.4
103,45.2,41,25
38,55.5,28,27.5
54,41.4,29,22.8
113,48,37,25.4
